agency,location,project_title,year,project_link,award_status,file_type,latitude,longitude,formatted_address,place_id,types,street_number,route,locality,sublocality,administrative_area_level_1,administrative_area_level_2,country,postal_code
Raleigh Police Department,"North Carolina, USA",Raleighs Robbery Suppression Initiative,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-20.pdf,Submission,pdf,35.7795897,-78.6381787,"Raleigh, NC, USA",ChIJ9-BRny9arIkRrfARilK2kGc,"locality,political",,,Raleigh,,North Carolina,Wake County,United States,
Raleigh Police Department,"North Carolina, USA",Operation Dragnet,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-42.pdf,Submission,pdf,35.7795897,-78.6381787,"Raleigh, NC, USA",ChIJ9-BRny9arIkRrfARilK2kGc,"locality,political",,,Raleigh,,North Carolina,Wake County,United States,
Raleigh Police Department,"North Carolina, USA",Operation Netforces,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-32.pdf,Submission,pdf,35.7795897,-78.6381787,"Raleigh, NC, USA",ChIJ9-BRny9arIkRrfARilK2kGc,"locality,political",,,Raleigh,,North Carolina,Wake County,United States,
Raleigh Police Department,"North Carolina, USA",Approach to Speeding in a School Zone,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-29.pdf,Submission,pdf,35.7795897,-78.6381787,"Raleigh, NC, USA",ChIJ9-BRny9arIkRrfARilK2kGc,"locality,political",,,Raleigh,,North Carolina,Wake County,United States,
Rapid City Police Department,"South Dakota, USA",Project Parolee Chronic Offender Problem,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-53.pdf,Submission,pdf,44.0782503,-103.2220511,"300 Kansas City St #302, Rapid City, SD 57701, USA",ChIJ81DlXipDfYcRPi2HJceVPyw,"establishment,point_of_interest,police",300,Kansas City Street,Rapid City,,South Dakota,Pennington County,United States,57701
Redding Police Department,"California, USA",Street Legal Drags Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-30.pdf,Submission,pdf,40.5731463,-122.3817215,"777 Cypress Ave, Redding, CA 96001, USA",ChIJd1yXMOzs0lQR_V-meeYn2i0,"establishment,point_of_interest,police",777,Cypress Avenue,Redding,,California,Shasta County,United States,96001
Redlands Police Department,"California, USA",Addressing the Organized Retail Crime Problem,2023,https://popcenter.asu.edu/sites/default/files/addressing_the_organized_retail_crime_problem_redlands_ca.pdf,Submission,pdf,34.0498323,-117.1980279,"1150 Brookside Ave # J12, Redlands, CA 92373, USA",ChIJNbrS7T2q3IARoEcE1bR9uWI,"establishment,point_of_interest,police",1150,Brookside Avenue,Redlands,,California,San Bernardino County,United States,92373
Redondo Beach Police Department,"California, USA",Anti Theft Sting,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-64.pdf,Submission,pdf,33.8491816,-118.3884078,"Redondo Beach, CA, USA",ChIJE7lJQ5G0woARZfEcVNv4z_8,"locality,political",,,Redondo Beach,,California,Los Angeles County,United States,
Redondo Beach Police Department,"California, USA",Redondo Beach Gang Project,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-42(F).pdf,Finalist,pdf,33.8491816,-118.3884078,"Redondo Beach, CA, USA",ChIJE7lJQ5G0woARZfEcVNv4z_8,"locality,political",,,Redondo Beach,,California,Los Angeles County,United States,
Redondo Beach Police Department,"California, USA",The Redondo Court Motel,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-62.pdf,Submission,pdf,33.8491816,-118.3884078,"Redondo Beach, CA, USA",ChIJE7lJQ5G0woARZfEcVNv4z_8,"locality,political",,,Redondo Beach,,California,Los Angeles County,United States,
Regina Police Service,"Saskatchewan, Canada",11 and Under Initiative,2015,https://live-cpop.ws.asu.edu/sites/default/files/org/15-11_regina.pdf,Submission,pdf,50.4452112,-104.6188944,"Regina, SK, Canada",ChIJ6z2l-0AeHFMRsVR7t5YySjU,"locality,political",,,Regina,,Saskatchewan,Sherwood No. 159,Canada,
Regina Police Service,"Saskatchewan, Canada",Stolen Auto Strategy,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-37.pdf,Submission,pdf,50.4452112,-104.6188944,"Regina, SK, Canada",ChIJ6z2l-0AeHFMRsVR7t5YySjU,"locality,political",,,Regina,,Saskatchewan,Sherwood No. 159,Canada,
Regina Police Service,"Saskatchewan, Canada",Regina Stolen Auto Strategy,2004,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2004/04-33.pdf,Submission,pdf,50.4452112,-104.6188944,"Regina, SK, Canada",ChIJ6z2l-0AeHFMRsVR7t5YySjU,"locality,political",,,Regina,,Saskatchewan,Sherwood No. 159,Canada,
Regina Police Service,"Saskatchewan, Canada",Keeping Our Community Safe: A Community Development Initiative to Reduce Juvenile Arson,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-45.pdf,Submission,pdf,50.4452112,-104.6188944,"Regina, SK, Canada",ChIJ6z2l-0AeHFMRsVR7t5YySjU,"locality,political",,,Regina,,Saskatchewan,Sherwood No. 159,Canada,
Reno Police Department,"Nevada, USA",The OliverMontello Neighborhood Initiative,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-35.pdf,Submission,pdf,39.527832,-119.806264,"455 E 2nd St, Reno, NV 89502, USA",ChIJyeabWLNAmYARonClwmC4sX4,"establishment,point_of_interest,police",455,East 2nd Street,Reno,,Nevada,Washoe County,United States,89502
Reno Police Department,"Nevada, USA",Motel Interdiction Program: A Criminal and Nuisance Abatement Project,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-43.pdf,Submission,pdf,39.527832,-119.806264,"455 E 2nd St, Reno, NV 89502, USA",ChIJyeabWLNAmYARonClwmC4sX4,"establishment,point_of_interest,police",455,East 2nd Street,Reno,,Nevada,Washoe County,United States,89502
Richmond Police Department,"Virginia, USA",Sector 213: From Blight to Bliss,2007,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2007/07-38.pdf,Submission,pdf,37.5407246,-77.4360481,"Richmond, VA, USA",ChIJ7cmZVwkRsYkRxTxC4m0-2L8,"locality,political",,,Richmond,,Virginia,,United States,
Richmond Police Department,"Virginia, USA",Graffiti Task Force,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-51.pdf,Submission,pdf,37.5407246,-77.4360481,"Richmond, VA, USA",ChIJ7cmZVwkRsYkRxTxC4m0-2L8,"locality,political",,,Richmond,,Virginia,,United States,
Richmond Police Department,"Virginia, USA",Richmond Auto Theft Task Force,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-52.pdf,Submission,pdf,37.5407246,-77.4360481,"Richmond, VA, USA",ChIJ7cmZVwkRsYkRxTxC4m0-2L8,"locality,political",,,Richmond,,Virginia,,United States,
Richmond Police Department,"Virginia, USA",Project Exile,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-53.pdf,Submission,pdf,37.5407246,-77.4360481,"Richmond, VA, USA",ChIJ7cmZVwkRsYkRxTxC4m0-2L8,"locality,political",,,Richmond,,Virginia,,United States,
Riverside Police Department,"California, USA",Homeless,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-49.pdf,Submission,pdf,33.9806005,-117.3754942,"Riverside, CA, USA",ChIJu330f9-m3IAR6ApeEwXXofc,"locality,political",,,Riverside,,California,Riverside County,United States,
Riverside Police Department,"California, USA",City of Riverside Eastside Gang Interdiction Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-63.pdf,Submission,pdf,33.9806005,-117.3754942,"Riverside, CA, USA",ChIJu330f9-m3IAR6ApeEwXXofc,"locality,political",,,Riverside,,California,Riverside County,United States,
Rochester Police Department,"New York, USA",Rauber Street Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-54.pdf,Submission,pdf,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"locality,political",,,New York,,New York,,United States,
Rockaway Police Department,"New Jersey, USA",Motor Vehicle Theft Analysis And Reduction,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-44.pdf,Submission,pdf,40.9125729,-74.5299686,"65 Mt Hope Rd, Rockaway, NJ 07866, USA",ChIJ60MZcbMLw4kRIxPsDZS_Nss,"establishment,point_of_interest,police",65,Mount Hope Road,Rockaway,,New Jersey,Morris County,United States,7866
Rogers County Sheriff's Office,"Oklahoma, USA",Reducing Trailer Theft by Targeting Market for Stolen Goods,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-54(F).pdf,Finalist,pdf,36.3113137,-95.6150831,"114 S Missouri Ave, Claremore, OK 74017, USA",ChIJU4MYU5tQtocReasHFQkcKZk,"establishment,local_government_office,point_of_interest,police",114,South Missouri Avenue,Claremore,,Oklahoma,Rogers County,United States,74017
Rolling Meadows Police Department,"Illinois, USA",Police Neighborhood Resource Center,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-31.pdf,Submission,pdf,42.080655,-88.0250316,"3600 Kirchoff Rd, Rolling Meadows, IL 60008, USA",ChIJt9dtZ0elD4gRnSNVM8RjjRY,"establishment,point_of_interest,police",3600,Kirchoff Road,Rolling Meadows,,Illinois,Cook County,United States,60008
Roseville Police Department,"California, USA",The Crime Suppression Unit: Targeting Gangs: One Gangster at a Time,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-08.pdf,Submission,pdf,38.7589323,-121.2956898,"1051 Junction Blvd, Roseville, CA 95678, USA",ChIJ1yFoj7Ihm4ARqOWLDv9ZJiM,"establishment,point_of_interest,police",1051,Junction Boulevard,Roseville,,California,Placer County,United States,95678
Royal Canadian Mounted Police,"British Columbia, Canada",Project ELEGO: Combatting Retail Theft One Brick at a Time,2016,https://popcenter.asu.edu/sites/default/files/16-20_rcmp_bc.pdf,Submission,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Royal Canadian Mounted Police,"British Columbia, Canada",Using Analysts Skills for Crime Reduction  RCMP Kamloops City Detachment,2010,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2010/10-15.pdf,Submission,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Royal Canadian Mounted Police,"British Columbia, Canada",Project Metrotown,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-46(F).pdf,Finalist,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Royal Canadian Mounted Police,"British Columbia, Canada",Project Peppercorn,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-54.pdf,Submission,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Royal Canadian Mounted Police,"British Columbia, Canada",Williams Lake Auto Theft Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-55.pdf,Submission,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Royal Canadian Mounted Police,"British Columbia, Canada",Vanier Project: Gardner St. Residence,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-43.pdf,Submission,pdf,53.7266683,-127.6476206,"British Columbia, Canada",ChIJr2prqsdmelMR-fHnN-lBG4g,"administrative_area_level_1,political",,,,,British Columbia,,Canada,
Sacramento Police Department,"California, USA",Old North Sacramento Revitalization Project,2016,https://popcenter.asu.edu/sites/default/files/16-09_sacramento.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",Graffiti Reduction Through Task Force Partnerships,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-32.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",Oak Park Revitalization Program,1998,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1998/98-65.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",Oak Park Project,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-44.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",New Helvetia and River Oaks Project,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-45(W).pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",Public Housing Safety Screening Program,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-64.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Sacramento Police Department,"California, USA",Franklin Villa Neighborhood Project,1995,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1995/95-65.pdf,Submission,pdf,38.5815719,-121.4943996,"Sacramento, CA, USA",ChIJ-ZeDsnLGmoAR238ZdKpqH5I,"locality,political",,,Sacramento,,California,Sacramento County,United States,
Salt Lake City Police Department,"Utah, USA",Methamphetamine Initiative,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-33.pdf,Submission,pdf,40.7601209,-111.8849446,"475 S 300 E, Salt Lake City, UT 84111, USA",ChIJJ1VVVRn1UocRLMJi-JP5QAA,"establishment,point_of_interest,police",475,South 300 East,Salt Lake City,,Utah,Salt Lake County,United States,84111
Salt Lake City Police Department,"Utah, USA",The False Alarm Solution: Verified Response,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-55(F).pdf,Finalist,pdf,40.7601209,-111.8849446,"475 S 300 E, Salt Lake City, UT 84111, USA",ChIJJ1VVVRn1UocRLMJi-JP5QAA,"establishment,point_of_interest,police",475,South 300 East,Salt Lake City,,Utah,Salt Lake County,United States,84111
San Angelo Police Department,"Texas, USA","""See! Its me!"" Identity Theft Prevention Program",2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-45.pdf,Submission,pdf,31.463747,-100.430356,"401 E Beauregard Ave, San Angelo, TX 76903, USA",ChIJldRAcVDvV4YRKCdg8gjcLTo,"establishment,point_of_interest,police",401,East Beauregard Avenue,San Angelo,,Texas,Tom Green County,United States,76903
San Antonio Police Department,"Texas, USA",Rejuvenating Coliseum Park: The Jolly Time Drive Inn Project,1997,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1997/97-56.pdf,Submission,pdf,29.4227234,-98.4992195,"315 S Santa Rosa Ave #2000, San Antonio, TX 78207, USA",ChIJLYBD5bJYXIYRF_yw9cGsxzw,"establishment,local_government_office,point_of_interest",315,South Santa Rosa Avenue,San Antonio,,Texas,Bexar County,United States,78207
San Bernardino County Sheriff's Department,"California, USA",Homeless Outreach Proactive Enforcement,2016,https://popcenter.asu.edu/sites/default/files/16-08_san_bernardino_county.pdf,Submission,pdf,34.1039699,-117.2727151,"655 E 3rd St, San Bernardino, CA 92415, USA",ChIJy6cxBFRTw4ARkyy1Y0S5lRs,"establishment,local_government_office,point_of_interest,police",655,East 3rd Street,San Bernardino,,California,San Bernardino County,United States,92415
San Bernardino County Sheriff's Department,"California, USA",Operation H.U.D. Fraud,2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-46.pdf,Submission,pdf,34.1039699,-117.2727151,"655 E 3rd St, San Bernardino, CA 92415, USA",ChIJy6cxBFRTw4ARkyy1Y0S5lRs,"establishment,local_government_office,point_of_interest,police",655,East 3rd Street,San Bernardino,,California,San Bernardino County,United States,92415
San Bernardino County Sheriff's Department,"California, USA",Foothill Corridor Project,1993,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1993/93-04.pdf,Finalist,pdf,34.1039699,-117.2727151,"655 E 3rd St, San Bernardino, CA 92415, USA",ChIJy6cxBFRTw4ARkyy1Y0S5lRs,"establishment,local_government_office,point_of_interest,police",655,East 3rd Street,San Bernardino,,California,San Bernardino County,United States,92415
San Bernardino Police Department,"California, USA",Prostitution Restraining Order Program,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-55.pdf,Submission,pdf,34.1122968,-117.2921259,"710 N D St, San Bernardino, CA 92401, USA",ChIJrYcSbz9Tw4ARhNwg3MZOWLs,"establishment,point_of_interest,police",710,North D Street,San Bernardino,,California,San Bernardino County,United States,92401
San Bernardino Police Department,"California, USA",Seventh Street Injunction Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-56.pdf,Submission,pdf,34.1122968,-117.2921259,"710 N D St, San Bernardino, CA 92401, USA",ChIJrYcSbz9Tw4ARhNwg3MZOWLs,"establishment,point_of_interest,police",710,North D Street,San Bernardino,,California,San Bernardino County,United States,92401
San Carlos Police Department,"California, USA","""The Babbler"": A Unique Response to a Unique 911 HangUp Situation",2006,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2006/06-47.pdf,Submission,pdf,37.5071591,-122.2605222,"San Carlos, CA, USA",ChIJd2j8APShj4ARiGkYJJ0PePo,"locality,political",,,San Carlos,,California,San Mateo County,United States,
San Diego County Sheriff's Department,"California, USA",Kenwood Gardens,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-47.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
San Diego County Sheriff's Department,"California, USA",Lewd Conduct at San Elijo Lagoon and I5 Viewpoint,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-51.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
San Diego County Sheriff's Department,"California, USA",Auto thefts in Beat 306 in Vista City,1996,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1996/96-46.pdf,Submission,pdf,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"administrative_area_level_1,political",,,,,California,,United States,
San Diego Police Department,"California, USA",Asian Gang Project,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-10.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Tinas Night Club,2011,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2011/11-32.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Administrative Citations,2009,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2009/09-22.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Psychiatric Emergency Response and Homeless Outreach Teams,2005,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2005/05-12.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",School Crisis Response Plan,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-60.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Domestic Violence Family Justice Center,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-34.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",DRAGNET Unit,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-35.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Nightclub Afterhours Nuisance Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-36.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Transient Project Interstate 805 Corridor,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-37.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",MidCity Neighborhood Prosecution Team,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-38.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",SDSU College Area Party Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-39.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",1500 50th Street Project,2003,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2003/03-40.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Serial Inebriate Program,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-48.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",North Park Graffiti Task Force,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-49.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Imperial Avenue Red Curb Project,2002,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2002/02-50.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Transient Problems at the Clairemont Square Mall,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-56.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Serial Inebriate Program,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-57.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Proactive Juvenile Services Team,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-58.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Port Royale Cove Project,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-59.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Operation Lone Wolf,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-60.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Dangerous Liaisons: NonStranger Sexual Assault,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-61.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",El Cajon and University Avenue Traffic Accident Reduction,2001,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2001/01-62.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",MidCity Graffiti Project,2000,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2000/00-28(W).pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",The Question of Independent Living,2000,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/2000/00-29(F).pdf,Finalist,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Truancy Control Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-57(F).pdf,Finalist,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Construction Site Burglaries,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-58.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
San Diego Police Department,"California, USA",Varrio Penasquitos Locos Project,1999,https://popcenter.asu.edu/sites/default/files/library/awards/goldstein/1999/99-59.pdf,Submission,pdf,32.715738,-117.1610838,"San Diego, CA, USA",ChIJSx6SrQ9T2YARed8V_f0hOg0,"locality,political",,,San Diego,,California,San Diego County,United States,
